sep=,
ORDRE NR,NAVN,EPOST,TLF NR,POST NR,POSTSTED
4,JC,sj@saj.co,393402030,3020,dsdoads
6,jaSODSNA,DOAD,23490234024,3404,DISDPO
7,SKkd,KSK,3203,32023,isdoa
9,JCSO,dsmado,3942004,Kksdsdfo,32023
12,KSdosd,disdoads@sdksd.cod,30430308,4923,dodaoda
12,Kkssd,fksdo@dkssd.ckd,30230400,2323,dsodpds
13,kdks,ikeodps@.co,32490242,2094,fiksfposfp
14,dsosdo,ajkds@dsksdo.cod,38383838,4022,dkdalda
15,JCOS,ddasa@dsdsc.cod,39004303,2030,dkssdooa
16,dfghjssad,sadfvb@hotmail.com,99999999,3035,drammen
17,dfvdfv,linda@hotmail.com,98013063,3030,drjnsdj
18,vbchjxkz,bdns@hotmail.com,66666666,3333,fhdjskl
